Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,Season,Episode,seriesID,totalSeasons
M3GAN,2022,PG-13,06 Jan 2023,102 min,"Horror, Sci-Fi, Thriller",Gerard Johnstone,"Akela Cooper, James Wan","Allison Williams, Violet McGraw, Ronny Chieng","When robotics engineer Gemma becomes the guardian of her orphaned niece, Cady, she thinks her new invention, a robotic AI, will be a good companion. However, M3GAN begins to behave in unexpected and shocking ways.",English,"United States, New Zealand",4 wins & 31 nominations total,https://m.media-amazon.com/images/M/MV5BYjU1ZWMxYTUtNzQ1ZC00ZTcxLTg0NTMtMzY1ZmQyZjhmYjMyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,6.3,"157,200",tt8760708,movie,N/A,"$95,159,005",N/A,N/A,True,False,/dlrWhn0G3AtxYUx2D9P2bmzcsvF.jpg,"{'id': 1071588, 'name': 'M3GAN Collection', 'poster_path': '/fS57wFKda3h5dtWS3sc9JffE05R.jpg', 'backdrop_path': '/uXEJwb8y67vFLaJb4wvHbSH6PjT.jpg'}",12000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}]",https://www.m3ganmovie.com,536554,tt8760708,['US'],en,M3GAN,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",15.1017,/d9nBoowhjiiYc4FBNtQkPY7c11H.jpg,"[{'id': 76907, 'logo_path': '/ygMQtjsKX7BZkCQhQZY82lgnCUO.png', 'name': 'Atomic Monster', 'origin_country': 'US'}, {'id': 3172, 'logo_path': '/rzKluDcRkIwHZK2pHsiT667A2Kw.png', 'name': 'Blumhouse Productions', 'origin_country': 'US'}, {'id': 89115, 'logo_path': '/zQwTHJVIruUlGsa7zIdfXuSm9GG.png', 'name': 'Divide / Conquer', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2022-12-28,181796517,102,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Friendship has evolved.,M3GAN,False,7.05,4214,,,,
Culpa Tuya,2024,N/A,27 Dec 2024,120 min,"Drama, Romance",Domingo González,"Mercedes Ron, Domingo González, Sofía Cuenca","Nicole Wallace, Gabriel Guevara, Marta Hazas","Despite their parents' efforts to separate them, Noah and Nick's love seems unbreakable. However, work and college open their lives to new relationships.",Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BZjk2YTIyZTItYTEzNi00YzFiLWIzMDYtNmNjODFiY2FiZGQ2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}]",N/A,5.3,"2,511",tt28510079,movie,N/A,N/A,N/A,N/A,True,False,/k24eZq5I3jyz4htPkZCRpnUmBzE.jpg,"{'id': 1156666, 'name': 'Fault Collection', 'poster_path': '/A3ghZY5eYyiD6CkrbnaMACi8TaT.jpg', 'backdrop_path': '/7N9p8D39MXJDfm14zlBwW7mBh7g.jpg'}",0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",https://www.amazon.com/dp/B0DJ1L7ZN3,1156593,tt28510079,"['US', 'ES']",es,Culpa tuya,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,47.2159,/1sQA7lfcF9yUyoLYC0e6Zo3jmxE.jpg,"[{'id': 32485, 'logo_path': '/fVXreZkiJTOq1cCi6htSQlPSy7R.png', 'name': 'Pokeepsie Films', 'origin_country': 'ES'}, {'id': 210099, 'logo_path': '/d6HwljzlOzxJ4tXlrpRkNZaZMWL.png', 'name': 'Amazon MGM Studios', 'origin_country': 'US'}, {'id': 21, 'logo_path': '/usUnaYV6hQnlVAXP6r4HwrlLFPG.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2024-12-26,0,118,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,Divided by family. Driven by love.,Your Fault,False,7.147,1225,,,,
Ice Age: Dawn of the Dinosaurs,2009,PG,01 Jul 2009,94 min,"Animation, Adventure, Comedy","Carlos Saldanha, Michael Thurmeier","Michael Berg, Peter Ackerman, Mike Reiss","Ray Romano, John Leguizamo, Denis Leary","When Sid's attempt to adopt three dinosaur eggs gets him abducted by their real mother to an underground lost world, his friends attempt to rescue him.",English,"United States, United Kingdom, Canada",3 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BZWJjZDYwMjgtZDZiMy00YzcyLThjN2YtYjI1ZDQ2ZDJkOTVmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,6.9,"274,809",tt1080016,movie,N/A,"$196,573,705",N/A,N/A,True,False,/o0zPARvs47f0UhAJuUqdQsyQaji.jpg,"{'id': 8354, 'name': 'Ice Age Collection', 'poster_path': '/stQoHvo0q6ZcEkji2Z1wlAxKnDq.jpg', 'backdrop_path': '/mk6m850cpuYAZFrrPXm46hrHC7s.jpg'}",90000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",http://www.iceagemovies.com/films/ice-age-dawn-of-the-dinosaurs,8355,tt1080016,['US'],en,Ice Age: Dawn of the Dinosaurs,"Times are changing for Manny the moody mammoth, Sid the motor mouthed sloth and Diego the crafty saber-toothed tiger. Life heats up for our heroes when they meet some new and none-too-friendly neighbors – the mighty dinosaurs.",19.3497,/cXOLaxcNjNAYmEx1trZxOTKhK3Q.jpg,"[{'id': 9383, 'logo_path': '/ppeMh4iZJQUMm1nAjRALeNhWDfU.png', 'name': 'Blue Sky Studios', 'origin_country': 'US'}, {'id': 11749, 'logo_path': '/5AzTeZkSCFhiGZ86g2nz8SAHtgy.png', 'name': '20th Century Fox Animation', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2009-06-26,886686817,94,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,What killed the dinosaurs?,Ice Age: Dawn of the Dinosaurs,False,6.755,8464,,,,
The Mummy,1999,PG-13,07 May 1999,124 min,"Action, Adventure, Fantasy",Stephen Sommers,"Stephen Sommers, Lloyd Fonvielle, Kevin Jarre","Brendan Fraser, Rachel Weisz, John Hannah","At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.","English, Egyptian (Ancient), Arabic, Chinese, Hebrew, Hungarian",United States,Nominated for 1 Oscar. 5 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BMTY4YWE0OGMtNjU0Yi00YzIwLTk3NTktM2ZiYWQwNjM4MmMxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,7.1,"479,531",tt0120616,movie,N/A,"$157,095,368",N/A,N/A,True,False,/wyIhlSbqBS7ZsDbCQwGhuNIDYyq.jpg,"{'id': 1733, 'name': 'The Mummy Collection', 'poster_path': '/x5ZQsM90h4jmvDelgbCwPjcOn1s.jpg', 'backdrop_path': '/1BeKi6IytbfQlQocJSvP2k6sO1a.jpg'}",80000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",http://www.mummyvideo.com/,564,tt0120616,['US'],en,The Mummy,Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.,22.123,/yhIsVvcUm7QxzLfT6HW2wLf5ajY.jpg,"[{'id': 11462, 'logo_path': '/7ZymELJwuWR4k5p0oeZ3d3WAhO3.png', 'name': 'Alphaville Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1999-04-16,415885488,124,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}]",Released,The sands will rise. The heavens will part. The power will be unleashed.,The Mummy,False,6.9,9306,,,,
The Longest Yard,2005,PG-13,27 May 2005,113 min,"Comedy, Crime, Sport",Peter Segal,"Albert S. Ruddy, Tracy Keenan Wynn, Sheldon Turner","Adam Sandler, Burt Reynolds, Chris Rock",Prison inmates form a football team to challenge the prison guards.,English,United States,3 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BMTc1NTQyNDk2NV5BMl5BanBnXkFtZTcwOTE2OTQzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,6.4,"200,803",tt0398165,movie,N/A,"$158,119,460",N/A,N/A,True,False,/9GeuSS66C0xcX1En4uKYgxWCGrS.jpg,,90000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",,9291,tt0398165,['US'],en,The Longest Yard,"Disgraced pro football quarterback Paul Crewe lands in a Texas federal penitentiary, where manipulative Warden Hazen recruits him to advise the institution's football team of prison guards. Crewe suggests a tune-up game which lands him quarterbacking a crew of inmates in a game against the guards. Aided by incarcerated ex-NFL coach and player Nate Scarborough, Crewe and his team must overcome not only the bloodthirstiness of the opposition, but also the corrupt warden trying to fix the game against them.",15.1012,/nbKcVBcxF96ARW2oKHqDYAcLdu.jpg,"[{'id': 60378, 'logo_path': None, 'name': 'Callahan Filmworks', 'origin_country': 'US'}, {'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 746, 'logo_path': '/kc7bdIVTBkJYy9aDK1QDDTAL463.png', 'name': 'MTV Films', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 878, 'logo_path': '/e2AZdsQdkhN0qJhoN4TMYiVPLyb.png', 'name': 'Happy Madison Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-05-27,191466556,113,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"If you can't get out, get even.",The Longest Yard,False,6.664,3459,,,,
Flow,2024,PG,14 Feb 2025,85 min,"Animation, Adventure, Family",Gints Zilbalodis,"Gints Zilbalodis, Matiss Kaza, Ron Dyens",N/A,"Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences.",None,"Latvia, Belgium, France",Won 1 Oscar. 54 wins & 72 nominations total,https://m.media-amazon.com/images/M/MV5BOTM5ODBlOTAtYjcwZi00YzkzLWIzODEtMTM2MTZlNDFmMWU2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,7.9,"70,276",tt4772188,movie,N/A,"$4,781,272",N/A,N/A,True,False,/b3mdmjYTEL70j7nuXATUAD9qgu4.jpg,,3700000,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",https://flowthemovie.com/,823219,tt4772188,['LV'],lv,Straume,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",53.6801,/imKSymKBK7o73sajciEmndJoVkR.jpg,"[{'id': 153335, 'logo_path': '/bEsO7l12cRGAY25Uqt1a66Ife1U.png', 'name': 'Dream Well Studio', 'origin_country': 'LV'}, {'id': 12433, 'logo_path': '/sKu7Gr83ie8w6waDwYNHMBEaSah.png', 'name': 'Sacrebleu Productions', 'origin_country': 'FR'}, {'id': 101516, 'logo_path': '/q7ynwvgbkht96N8qPFexUW3QFeR.png', 'name': 'Take Five', 'origin_country': 'BE'}, {'id': 94, 'logo_path': '/huC7HqorvUThGIrENrbcHmQVUA0.png', 'name': 'ARTE France Cinéma', 'origin_country': 'FR'}, {'id': 792, 'logo_path': '/cRhBQP1FFNugNxKkO1pUgeD2Rkr.png', 'name': 'RTBF', 'origin_country': 'BE'}]","[{'iso_3166_1': 'LV', 'name': 'Latvia'}, {'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'FR', 'name': 'France'}]",2024-08-29,17660107,85,"[{'english_name': 'No Language', 'iso_639_1': 'xx', 'name': 'No Language'}]",Released,Surrender to the storm.,Flow,False,8.204,1876,,,,
The Conjuring,2013,R,19 Jul 2013,112 min,"Horror, Mystery, Thriller",James Wan,"Chad Hayes, Carey W. Hayes","Patrick Wilson, Vera Farmiga, Ron Livingston",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,"English, Latin",United States,15 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BMTM3NjA1NDMyMV5BMl5BanBnXkFtZTcwMDQzNDMzOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,7.5,"575,822",tt1457767,movie,N/A,"$137,446,368",N/A,N/A,True,False,/mXndmCbpvlqnD6po0EMfxEZcUSn.jpg,"{'id': 313086, 'name': 'The Conjuring Collection', 'poster_path': '/z5VKhNSQKQyxm0co68HAkCqHnmX.jpg', 'backdrop_path': '/kHZaX0vuhZdbuq0WKU3BpA9WIQ0.jpg'}",13000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",http://theconjuring.warnerbros.com,138843,tt1457767,['US'],en,The Conjuring,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",19.1892,/wVYREutTvI2tmxr6ujrHT704wGF.jpg,"[{'id': 31375, 'logo_path': None, 'name': 'Evergreen Media Group', 'origin_country': ''}, {'id': 12, 'logo_path': '/2ycs64eqV5rqKYHyQK0GVoKGvfX.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 11565, 'logo_path': '/S74cHHbIrdmb5M51Pft72Uo9Gz.png', 'name': 'The Safran Company', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-07-18,320415166,112,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Based on the true case files of the Warrens.,The Conjuring,False,7.54,11807,,,,
The Black Phone,2021,R,24 Jun 2022,103 min,"Horror, Mystery, Thriller",Scott Derrickson,"Joe Hill, Scott Derrickson, C. Robert Cargill","Mason Thames, Madeleine McGraw, Ethan Hawke","After being abducted and locked in a basement, a boy starts receiving calls on a disconnected phone from the killer's previous victims.",English,United States,10 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BMjFhZTcxOTktMzllMS00MzIzLWJhODEtZDU5YTFkNzRjZWQyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.9,"217,892",tt7144666,movie,N/A,"$90,123,230",N/A,N/A,True,False,/syKiIOqEoOi1Hb0Oh0n9cImcBab.jpg,"{'id': 1197140, 'name': 'The Black Phone Collection', 'poster_path': '/29aGUA42KUHE1pwXMjmklT4TgVb.jpg', 'backdrop_path': '/qfFAPLFQ7tBoD7e8o9FvrcrrJ76.jpg'}",16000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",https://www.theblackphonemovie.com/,756999,tt7144666,['US'],en,The Black Phone,"Finney Blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",14.5523,/p9ZUzCyy9wRTDuuQexkQ78R2BgF.jpg,"[{'id': 3172, 'logo_path': '/rzKluDcRkIwHZK2pHsiT667A2Kw.png', 'name': 'Blumhouse Productions', 'origin_country': 'US'}, {'id': 162439, 'logo_path': '/h9hG1svKeylr9KqUOGmO4i3wRP0.png', 'name': 'Crooked Highway', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2022-06-17,161440742,103,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,Never talk to strangers.,The Black Phone,False,7.574,5100,,,,
Ghosted,2023,PG-13,21 Apr 2023,116 min,"Action, Adventure, Comedy",Dexter Fletcher,"Rhett Reese, Paul Wernick, Chris McKenna","Chris Evans, Ana de Armas, Adrien Brody","Cole falls head over heels for enigmatic Sadie, but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.",English,United States,1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BZDI0YzJjZTctNjU0MS00Y2Y3LThkNDgtNWMxYWVlZjVkYzYwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,5.8,"72,308",tt15326988,movie,N/A,N/A,N/A,N/A,True,False,/pp3QUzMXfP7q0ocmE1b15FH6PQ6.jpg,,40000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",https://tv.apple.com/movie/umc.cmc.6nodv9rf3ltfk2ar3pfc8hced,868759,tt15326988,['US'],en,Ghosted,"Salt-of-the-earth Cole falls head over heels for enigmatic Sadie—but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.",21.6218,/liLN69YgoovHVgmlHJ876PKi5Yi.jpg,"[{'id': 82819, 'logo_path': '/gXfFl9pRPaoaq14jybEn1pHeldr.png', 'name': 'Skydance Media', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2023-04-18,0,117,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Meeting that special someone can be a real adventure.,Ghosted,False,6.94,1912,,,,
Madagascar 3: Europe's Most Wanted,2012,PG,08 Jun 2012,93 min,"Animation, Adventure, Comedy","Eric Darnell, Tom McGrath, Conrad Vernon","Eric Darnell, Noah Baumbach, Alejandro Bien-Willner","Ben Stiller, Jada Pinkett Smith, Chris Rock","The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal-control officer.","English, Spanish","United States, India, United Kingdom",3 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BYTM5OWRiZTAtOTNkMS00NzNhLTkwYmYtMWI1MzkyMjE3MWE1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,6.8,"206,197",tt1277953,movie,N/A,"$216,391,482",N/A,N/A,True,False,/hfdds27YL5nTAhiOtjfNNxD3bJe.jpg,"{'id': 14740, 'name': 'Madagascar Collection', 'poster_path': '/99VF9o8Zuq4mh5px4bBaZvcKyQS.jpg', 'backdrop_path': '/lzTIAbvMeGWB7PUrmBZXulGA28M.jpg'}",145000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",,80321,tt1277953,['US'],en,Madagascar 3: Europe's Most Wanted,"Animal pals Alex, Marty, Melman, and Gloria are still trying to make it back to New York's Central Park Zoo. They are forced to take a detour to Europe to find the penguins and chimps who broke the bank at a Monte Carlo casino. When French animal-control officer Capitaine Chantel DuBois picks up their scent, Alex and company are forced to hide out in a traveling circus.",15.2996,/ekraj4ksvIKeuvQVEevEJkuybZd.jpg,"[{'id': 521, 'logo_path': '/3BPX5VGBov8SDqTV7wC1L1xShAS.png', 'name': 'DreamWorks Animation', 'origin_country': 'US'}, {'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 520, 'logo_path': '/pU7YTI9FfrICurXpl5V9TfCO0oJ.png', 'name': 'Pacific Data Images', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2012-06-06,746921274,93,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,They Have One Shot to Get Back Home.,Madagascar 3: Europe's Most Wanted,False,6.61,6251,,,,
Bagman,2024,PG-13,27 Sep 2024,93 min,Horror,Colm McCarthy,John Hulme,"Sam Claflin, Antonia Thomas, Caréll Vincent Rhoden","When a sinister threat from his childhood returns to haunt him, a father desperately struggles against his deepest inner fear. Only this time, the fight isn't for himself; it's for his family.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzAwMDllN2UtMDk0My00YWEwLWJhNGUtOGEzYzYwNmZjMzE2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,"3,205",tt21201300,movie,N/A,N/A,N/A,N/A,True,False,/gmYpUbSGOwmZnevCr0iwLEYdpVB.jpg,,14500000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,978796,tt21201300,['US'],en,Bagman,"For centuries and across cultures, parents have warned their children of the legendary Bagman, who snatches innocent children and stuffs them into his vile, rotting bag—never to be seen again. Patrick McKee narrowly escaped such an encounter as a boy, which left him with lasting scars throughout his adulthood. Now, Patrick’s childhood tormentor has returned, threatening the safety of his wife Karina and son Jake.",13.6585,/53IK9rlZJbwFYbNnJZiLq7UWxkT.jpg,"[{'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}, {'id': 12292, 'logo_path': '/4GQTeqos2luopEtp3OgMQYusQ5c.png', 'name': 'Temple Hill Entertainment', 'origin_country': 'US'}, {'id': 221429, 'logo_path': '/7xNNmHcuDy0tOqZmsUMnZ6HcZ6E.png', 'name': 'Media Capital Technologies', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2024-09-20,0,92,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,He's always closer than you think.,Bagman,False,6.267,315,,,,
A Quiet Place Part II,2020,PG-13,28 May 2021,97 min,"Drama, Horror, Sci-Fi",John Krasinski,"John Krasinski, Bryan Woods, Scott Beck","Emily Blunt, Millicent Simmonds, Cillian Murphy","Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.","English, American Sign ",United States,Nominated for 1 BAFTA Award14 wins & 44 nominations total,https://m.media-amazon.com/images/M/MV5BNjRiYjk4ZmItNGQ5NS00MmRhLTk4Y2EtMGQ1MTYxZWJhYjU0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.2,"300,909",tt8332922,movie,N/A,"$160,072,261",N/A,N/A,True,False,/AsqUSUqXrK8JfH8WEQnCXVbIAv6.jpg,"{'id': 521226, 'name': 'A Quiet Place Collection', 'poster_path': '/7WkFgOFJ6kKpqfEUo78zS3gjDlm.jpg', 'backdrop_path': '/r0uGgKhyYuQgPMe0SZQD7n8aj1g.jpg'}",55000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",https://www.aquietplacemovie.com,520763,tt8332922,['US'],en,A Quiet Place Part II,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",15.664,/4q2hz2m8hubgvijz8Ez0T2Os2Yv.jpg,"[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 2481, 'logo_path': '/vOQg26GjR0LnkN1Ph9uyog1UuOE.png', 'name': 'Platinum Dunes', 'origin_country': 'US'}, {'id': 29312, 'logo_path': '/v6aLhoAviWYkfOksBJTd9XbO0YH.png', 'name': 'Sunday Night Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2021-05-21,297372261,96,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Silence is not enough.,A Quiet Place Part II,False,7.47,6775,,,,
