Title,Year,BoxOffice,budget,popularity,production_companies,revenue,runtime,Internet Movie Database,Rotten Tomatoes,Metacritic,Genre
PAW Patrol: The Movie,2021,"$40,127,371",26.0,13.6185,"Spin Master,Nickelodeon Movies,Paramount Pictures,Mikros Image,Mikros Animation",144.327371,86,61.0,82.0,50.0, Action
PAW Patrol: The Movie,2021,"$40,127,371",26.0,13.6185,"Spin Master,Nickelodeon Movies,Paramount Pictures,Mikros Image,Mikros Animation",144.327371,86,61.0,82.0,50.0, Adventure
Don't Breathe 2,2021,"$32,712,950",15.0,4.206,"Ghost House Pictures,Stage 6 Films,Good Universe,Bad Hombre,Screen Gems",53.785551,98,60.0,,46.0,Action
Don't Breathe 2,2021,"$32,712,950",15.0,4.206,"Ghost House Pictures,Stage 6 Films,Good Universe,Bad Hombre,Screen Gems",53.785551,98,60.0,,46.0, Crime
Don't Breathe 2,2021,"$32,712,950",15.0,4.206,"Ghost House Pictures,Stage 6 Films,Good Universe,Bad Hombre,Screen Gems",53.785551,98,60.0,,46.0, Horror
The Wandering Earth II,2023,"$5,023,132",73.8,12.849,"China Film Group Corporation,Guo Fan Culture and Media",615.023132,173,67.0,83.0,56.0,Action
The Wandering Earth II,2023,"$5,023,132",73.8,12.849,"China Film Group Corporation,Guo Fan Culture and Media",615.023132,173,67.0,83.0,56.0, Adventure
The Wandering Earth II,2023,"$5,023,132",73.8,12.849,"China Film Group Corporation,Guo Fan Culture and Media",615.023132,173,67.0,83.0,56.0, Drama
The Innocents,2021,"$30,053",3.4,2.733,"Mer Film,Zentropa International Sweden,Bufo,Snow Globe Productions,Don't Look Now,Film i Väst,Logical Pictures,Zefyr Media Fund,DR,Norsk Filminstitutt,Det Danske Filminstitut,Finnish Film Foundation,Svenska Filminstitutet,Nordisk Film & TV Fond,Eurimages,Protagonist Pictures,YLE",0.322,117,70.0,95.0,79.0,Drama
The Innocents,2021,"$30,053",3.4,2.733,"Mer Film,Zentropa International Sweden,Bufo,Snow Globe Productions,Don't Look Now,Film i Väst,Logical Pictures,Zefyr Media Fund,DR,Norsk Filminstitutt,Det Danske Filminstitut,Finnish Film Foundation,Svenska Filminstitutet,Nordisk Film & TV Fond,Eurimages,Protagonist Pictures,YLE",0.322,117,70.0,95.0,79.0, Fantasy
The Innocents,2021,"$30,053",3.4,2.733,"Mer Film,Zentropa International Sweden,Bufo,Snow Globe Productions,Don't Look Now,Film i Väst,Logical Pictures,Zefyr Media Fund,DR,Norsk Filminstitutt,Det Danske Filminstitut,Finnish Film Foundation,Svenska Filminstitutet,Nordisk Film & TV Fond,Eurimages,Protagonist Pictures,YLE",0.322,117,70.0,95.0,79.0, Horror
Marlowe,2022,"$4,350,243",20.0,4.893,"Parallel Films,H2L Media Group,Nickel City Pictures,StoryBoard Media,Davis Films,Aperture Media Partners,Elipsis Capital,Jeff Rice Films,The Foley Lab,Fís Éireann/Screen Ireland,Parallel Film Productions",6.262663,109,54.0,26.0,41.0,Crime
Marlowe,2022,"$4,350,243",20.0,4.893,"Parallel Films,H2L Media Group,Nickel City Pictures,StoryBoard Media,Davis Films,Aperture Media Partners,Elipsis Capital,Jeff Rice Films,The Foley Lab,Fís Éireann/Screen Ireland,Parallel Film Productions",6.262663,109,54.0,26.0,41.0, Mystery
Marlowe,2022,"$4,350,243",20.0,4.893,"Parallel Films,H2L Media Group,Nickel City Pictures,StoryBoard Media,Davis Films,Aperture Media Partners,Elipsis Capital,Jeff Rice Films,The Foley Lab,Fís Éireann/Screen Ireland,Parallel Film Productions",6.262663,109,54.0,26.0,41.0, Thriller
Chip 'n Dale: Rescue Rangers,2022,,70.0,9.3575,"Walt Disney Pictures,Mandeville Films",0.62319,99,69.0,,66.0,Animation
Chip 'n Dale: Rescue Rangers,2022,,70.0,9.3575,"Walt Disney Pictures,Mandeville Films",0.62319,99,69.0,,66.0, Action
Chip 'n Dale: Rescue Rangers,2022,,70.0,9.3575,"Walt Disney Pictures,Mandeville Films",0.62319,99,69.0,,66.0, Adventure
Till,2022,"$9,000,202",33.0,5.7163,"Frederick Zollo Productions,Whoop/One Ho Productions/Lil' Whoop Productions,EON Productions,Orion Pictures",11.498884,131,72.0,96.0,77.0,Biography
Till,2022,"$9,000,202",33.0,5.7163,"Frederick Zollo Productions,Whoop/One Ho Productions/Lil' Whoop Productions,EON Productions,Orion Pictures",11.498884,131,72.0,96.0,77.0, Crime
Till,2022,"$9,000,202",33.0,5.7163,"Frederick Zollo Productions,Whoop/One Ho Productions/Lil' Whoop Productions,EON Productions,Orion Pictures",11.498884,131,72.0,96.0,77.0, Drama
Black Box,2021,,10.72224,3.6912,"24 25 Films,WY Productions",9.738741,130,72.0,72.0,,Drama
Black Box,2021,,10.72224,3.6912,"24 25 Films,WY Productions",9.738741,130,72.0,72.0,, Mystery
Black Box,2021,,10.72224,3.6912,"24 25 Films,WY Productions",9.738741,130,72.0,72.0,, Thriller
Fallen Leaves,2023,"$954,307",1.48,4.0344,"Sputnik,Bufo,Pandora Film",12.4,81,73.0,97.0,86.0,Comedy
Fallen Leaves,2023,"$954,307",1.48,4.0344,"Sputnik,Bufo,Pandora Film",12.4,81,73.0,97.0,86.0, Drama
Fallen Leaves,2023,"$954,307",1.48,4.0344,"Sputnik,Bufo,Pandora Film",12.4,81,73.0,97.0,86.0, Romance
Robot Dreams,2023,"$875,215",5.3,7.1353,"Arcadia Motion Pictures,LokizFilms,Noodles Production,Les films du Worso",4.656348,102,76.0,98.0,87.0,Animation
Robot Dreams,2023,"$875,215",5.3,7.1353,"Arcadia Motion Pictures,LokizFilms,Noodles Production,Les films du Worso",4.656348,102,76.0,98.0,87.0, Comedy
Robot Dreams,2023,"$875,215",5.3,7.1353,"Arcadia Motion Pictures,LokizFilms,Noodles Production,Les films du Worso",4.656348,102,76.0,98.0,87.0, Drama
Werewolves Within,2021,"$575,783",6.5,4.5135,"Vanishing Angle,Ubisoft Film & Television",0.93749,97,60.0,86.0,66.0,Comedy
Werewolves Within,2021,"$575,783",6.5,4.5135,"Vanishing Angle,Ubisoft Film & Television",0.93749,97,60.0,86.0,66.0, Horror
Werewolves Within,2021,"$575,783",6.5,4.5135,"Vanishing Angle,Ubisoft Film & Television",0.93749,97,60.0,86.0,66.0, Mystery
Babes,2024,"$3,800,038",3.7,5.8964,"FilmNation Entertainment,Range Media Partners,Starrpix",3.663309,104,63.0,88.0,72.0,Comedy
The Wolf and the Lion,2021,"$2,072,173",11.9,3.9225,"Galatée Films,Mai Juin Productions,StudioCanal,Super Écran,SODEC,Canal+,Ciné+,Transfilm International,M6 Films,Sphere Films",15.3,99,62.0,30.0,36.0,Adventure
The Wolf and the Lion,2021,"$2,072,173",11.9,3.9225,"Galatée Films,Mai Juin Productions,StudioCanal,Super Écran,SODEC,Canal+,Ciné+,Transfilm International,M6 Films,Sphere Films",15.3,99,62.0,30.0,36.0, Drama
The Wolf and the Lion,2021,"$2,072,173",11.9,3.9225,"Galatée Films,Mai Juin Productions,StudioCanal,Super Écran,SODEC,Canal+,Ciné+,Transfilm International,M6 Films,Sphere Films",15.3,99,62.0,30.0,36.0, Family
Magic Mike's Last Dance,2023,"$26,005,156",45.0,6.8285,"Warner Bros. Pictures,Nick Wechsler Productions,Free Association",52.0,112,52.0,48.0,52.0,Comedy
Magic Mike's Last Dance,2023,"$26,005,156",45.0,6.8285,"Warner Bros. Pictures,Nick Wechsler Productions,Free Association",52.0,112,52.0,48.0,52.0, Drama
About My Father,2023,"$12,089,391",29.1,5.2,"Lionsgate,Depth of Field,Media Capital Technologies",18.167819,90,57.0,37.0,39.0,Comedy
Freud's Last Session,2023,"$906,283",10.0,2.4953,"WestEnd Films,CAA Media Finance,14 Sunset,LB Entertainment,Last Session Productions,Traveling Picture Show Company,M.Y.R.A. Entertainment,Subotica",1.697993,109,61.0,44.0,,Drama
Bros,2022,"$11,628,165",22.0,8.1943,"Universal Pictures,Apatow Productions,Stoller Global Solutions",14.8,115,64.0,89.0,72.0,Comedy
Bros,2022,"$11,628,165",22.0,8.1943,"Universal Pictures,Apatow Productions,Stoller Global Solutions",14.8,115,64.0,89.0,72.0, Romance
The Boss Baby: Family Business,2021,"$57,300,280",82.0,12.1139,"DreamWorks Animation,Universal Pictures",146.74528,107,59.0,46.0,39.0,Animation
The Boss Baby: Family Business,2021,"$57,300,280",82.0,12.1139,"DreamWorks Animation,Universal Pictures",146.74528,107,59.0,46.0,39.0, Adventure
The Boss Baby: Family Business,2021,"$57,300,280",82.0,12.1139,"DreamWorks Animation,Universal Pictures",146.74528,107,59.0,46.0,39.0, Comedy
Maybe I Do,2023,"$1,293,722",7.5,5.1071,"Fifth Season,Vincent Newman Entertainment",4.393504,95,50.0,31.0,42.0,Comedy
Maybe I Do,2023,"$1,293,722",7.5,5.1071,"Fifth Season,Vincent Newman Entertainment",4.393504,95,50.0,31.0,42.0, Romance
Salaar,2023,"$8,929,282",34.0,6.7374,Hombale Films,87.2291,175,66.0,,,Action
Salaar,2023,"$8,929,282",34.0,6.7374,Hombale Films,87.2291,175,66.0,,, Crime
Salaar,2023,"$8,929,282",34.0,6.7374,Hombale Films,87.2291,175,66.0,,, Drama
Gangubai Kathiawadi,2022,"$592,000",12.0,2.6589,"Bhansali Productions,Pen Studios",25.3,157,78.0,91.0,,Biography
Gangubai Kathiawadi,2022,"$592,000",12.0,2.6589,"Bhansali Productions,Pen Studios",25.3,157,78.0,91.0,, Crime
Gangubai Kathiawadi,2022,"$592,000",12.0,2.6589,"Bhansali Productions,Pen Studios",25.3,157,78.0,91.0,, Drama
Dampyr,2022,,15.0,5.0945,"Sergio Bonelli Editore,Eagle Pictures,Brandon Box",0.362113,109,54.0,,,Fantasy
Dampyr,2022,,15.0,5.0945,"Sergio Bonelli Editore,Eagle Pictures,Brandon Box",0.362113,109,54.0,,, Horror
"Lyle, Lyle, Crocodile",2022,"$46,888,441",50.0,8.7547,"Eagle Pictures,Columbia Pictures",104.088441,106,61.0,71.0,51.0,Adventure
"Lyle, Lyle, Crocodile",2022,"$46,888,441",50.0,8.7547,"Eagle Pictures,Columbia Pictures",104.088441,106,61.0,71.0,51.0, Comedy
"Lyle, Lyle, Crocodile",2022,"$46,888,441",50.0,8.7547,"Eagle Pictures,Columbia Pictures",104.088441,106,61.0,71.0,51.0, Family
Big George Foreman,2023,"$5,426,772",32.0,7.7274,"Mandalay Pictures,Affirm Films",3.8,129,66.0,,45.0,Biography
Big George Foreman,2023,"$5,426,772",32.0,7.7274,"Mandalay Pictures,Affirm Films",3.8,129,66.0,,45.0, Drama
Big George Foreman,2023,"$5,426,772",32.0,7.7274,"Mandalay Pictures,Affirm Films",3.8,129,66.0,,45.0, Sport
The Prosecutor,2024,"$407,965",38.5,6.3497,"Mandarin Motion Pictures,China’s Huace Pictures,Super Bullet Pictures",128.093757,117,68.0,93.0,66.0,Action
The Prosecutor,2024,"$407,965",38.5,6.3497,"Mandarin Motion Pictures,China’s Huace Pictures,Super Bullet Pictures",128.093757,117,68.0,93.0,66.0, Thriller
Monsieur Aznavour,2024,,28.0,3.4427,"Kallouche Cinéma,Pathé,TF1 Films Production,Beside Productions,Logical Content Ventures,Bulgarian National Film Center,Mandarin & Compagnie",15.198387,134,73.0,,,Biography
Monsieur Aznavour,2024,,28.0,3.4427,"Kallouche Cinéma,Pathé,TF1 Films Production,Beside Productions,Logical Content Ventures,Bulgarian National Film Center,Mandarin & Compagnie",15.198387,134,73.0,,, Drama
Monsieur Aznavour,2024,,28.0,3.4427,"Kallouche Cinéma,Pathé,TF1 Films Production,Beside Productions,Logical Content Ventures,Bulgarian National Film Center,Mandarin & Compagnie",15.198387,134,73.0,,, Music
Munjya,2024,,3.592556,2.4559,Maddock Films,15.743613,121,64.0,56.0,,Comedy
Munjya,2024,,3.592556,2.4559,Maddock Films,15.743613,121,64.0,56.0,, Horror
Blacklight,2022,"$9,591,094",43.0,10.7136,"The Solution,Zero Gravity Management,Film Victoria,Lightstream Entertainment,Screen Australia,Footloose Productions,Sina Studios,Fourstar Film Partners Production,Elevate Production Finance,Monty the Dog Productions",15.902207,104,48.0,12.0,27.0,Action
Blacklight,2022,"$9,591,094",43.0,10.7136,"The Solution,Zero Gravity Management,Film Victoria,Lightstream Entertainment,Screen Australia,Footloose Productions,Sina Studios,Fourstar Film Partners Production,Elevate Production Finance,Monty the Dog Productions",15.902207,104,48.0,12.0,27.0, Drama
Blacklight,2022,"$9,591,094",43.0,10.7136,"The Solution,Zero Gravity Management,Film Victoria,Lightstream Entertainment,Screen Australia,Footloose Productions,Sina Studios,Fourstar Film Partners Production,Elevate Production Finance,Monty the Dog Productions",15.902207,104,48.0,12.0,27.0, Thriller
Mafia Mamma,2023,"$3,496,761",41.0,4.4345,"Idea(L),Vocab Films,New Sparta Films,Ingenious Media,Lipsync Productions,Cornerstone Films",3.9,101,54.0,21.0,42.0,Action
Mafia Mamma,2023,"$3,496,761",41.0,4.4345,"Idea(L),Vocab Films,New Sparta Films,Ingenious Media,Lipsync Productions,Cornerstone Films",3.9,101,54.0,21.0,42.0, Comedy
Mafia Mamma,2023,"$3,496,761",41.0,4.4345,"Idea(L),Vocab Films,New Sparta Films,Ingenious Media,Lipsync Productions,Cornerstone Films",3.9,101,54.0,21.0,42.0, Crime
The Animal Kingdom,2023,"$11,767",15.2,4.9447,"StudioCanal,Nord-Ouest Films,France 2 Cinéma,Artémis Productions",9.138503,127,67.0,83.0,69.0,Adventure
The Animal Kingdom,2023,"$11,767",15.2,4.9447,"StudioCanal,Nord-Ouest Films,France 2 Cinéma,Artémis Productions",9.138503,127,67.0,83.0,69.0, Drama
The Animal Kingdom,2023,"$11,767",15.2,4.9447,"StudioCanal,Nord-Ouest Films,France 2 Cinéma,Artémis Productions",9.138503,127,67.0,83.0,69.0, Horror
Brave the Dark,2023,,0.2,3.9599,"Inspiring Films,Make Films,Triode Media",4.529925,110,,74.0,,Drama
The Best Christmas Pageant Ever,2024,"$40,048,808",10.0,4.967,"Kingdom Story Company,FletChet Entertainment,Lionsgate,Lumenas Studios,Media Capital Technologies",40.262167,99,68.0,92.0,60.0,Adventure
The Best Christmas Pageant Ever,2024,"$40,048,808",10.0,4.967,"Kingdom Story Company,FletChet Entertainment,Lionsgate,Lumenas Studios,Media Capital Technologies",40.262167,99,68.0,92.0,60.0, Comedy
The Best Christmas Pageant Ever,2024,"$40,048,808",10.0,4.967,"Kingdom Story Company,FletChet Entertainment,Lionsgate,Lumenas Studios,Media Capital Technologies",40.262167,99,68.0,92.0,60.0, Drama
The Unholy,2021,"$15,532,137",10.0,6.6434,"Ghost House Pictures,Screen Gems",30.832137,99,51.0,28.0,36.0,Drama
The Unholy,2021,"$15,532,137",10.0,6.6434,"Ghost House Pictures,Screen Gems",30.832137,99,51.0,28.0,36.0, Horror
The Unholy,2021,"$15,532,137",10.0,6.6434,"Ghost House Pictures,Screen Gems",30.832137,99,51.0,28.0,36.0, Mystery
80 for Brady,2023,"$39,330,588",28.0,6.6682,"199 Productions,Watch This Ready,Fifth Season,Tempesta Films",29.637811,98,59.0,59.0,52.0,Comedy
80 for Brady,2023,"$39,330,588",28.0,6.6682,"199 Productions,Watch This Ready,Fifth Season,Tempesta Films",29.637811,98,59.0,59.0,52.0, Drama
80 for Brady,2023,"$39,330,588",28.0,6.6682,"199 Productions,Watch This Ready,Fifth Season,Tempesta Films",29.637811,98,59.0,59.0,52.0, Sport
K.G.F: Chapter 2,2022,"$2,874,000",13.0,4.7236,"Hombale Films,Vaaraahi Chalana Chitram",90.410749,168,82.0,47.0,,Action
K.G.F: Chapter 2,2022,"$2,874,000",13.0,4.7236,"Hombale Films,Vaaraahi Chalana Chitram",90.410749,168,82.0,47.0,, Crime
K.G.F: Chapter 2,2022,"$2,874,000",13.0,4.7236,"Hombale Films,Vaaraahi Chalana Chitram",90.410749,168,82.0,47.0,, Drama
Amaran,2024,,14.7,47.0715,"Raajkamal Films International,Sony Pictures International Productions",39.2,169,82.0,,,Action
Amaran,2024,,14.7,47.0715,"Raajkamal Films International,Sony Pictures International Productions",39.2,169,82.0,,, Biography
Amaran,2024,,14.7,47.0715,"Raajkamal Films International,Sony Pictures International Productions",39.2,169,82.0,,, Drama
The Roundup,2022,"$812,859",7.6,8.6155,"BA Entertainment,Hong Film,Big Punch Pictures",101.166707,106,70.0,96.0,,Action
The Roundup,2022,"$812,859",7.6,8.6155,"BA Entertainment,Hong Film,Big Punch Pictures",101.166707,106,70.0,96.0,, Adventure
The Roundup,2022,"$812,859",7.6,8.6155,"BA Entertainment,Hong Film,Big Punch Pictures",101.166707,106,70.0,96.0,, Crime
Sound of Hope: The Story of Possum Trot,2024,"$11,647,099",8.5,2.0747,"Peacetree Productions,3.16 Productions,The Daily Wire",11.721425,130,72.0,83.0,,Drama
The Front Room,2024,"$3,092,269",3.5,5.936,"A24,2AM,Two & Two Pictures",3.165361,95,46.0,41.0,49.0,Horror
The Front Room,2024,"$3,092,269",3.5,5.936,"A24,2AM,Two & Two Pictures",3.165361,95,46.0,41.0,49.0, Thriller
Godland,2022,"$60,735",5.0,1.7395,"Maneki Films,Snowglobe,Join Motion Pictures,Film i Väst,Garagefilm International",1.560518,143,71.0,92.0,81.0,Drama
Mars Express,2023,"$200,581",7.9,2.319,"Gébéka Films,Je suis bien content,Les Productions de la Plume,Amopix,France 3 Cinéma,Everybody on Deck,Ev.L Prod,Shine Conseils",1.455713,89,75.0,100.0,76.0,Animation
Mars Express,2023,"$200,581",7.9,2.319,"Gébéka Films,Je suis bien content,Les Productions de la Plume,Amopix,France 3 Cinéma,Everybody on Deck,Ev.L Prod,Shine Conseils",1.455713,89,75.0,100.0,76.0, Action
Mars Express,2023,"$200,581",7.9,2.319,"Gébéka Films,Je suis bien content,Les Productions de la Plume,Amopix,France 3 Cinéma,Everybody on Deck,Ev.L Prod,Shine Conseils",1.455713,89,75.0,100.0,76.0, Mystery
Easter Sunday,2022,"$13,013,690",17.0,4.9529,"DreamWorks Pictures,Rideback",13.071438,96,53.0,40.0,41.0,Comedy
American Underdog,2021,"$26,514,814",25.0,5.9444,"Lionsgate,City on a Hill Productions,Kingdom Story Company",26.514814,112,71.0,75.0,53.0,Biography
American Underdog,2021,"$26,514,814",25.0,5.9444,"Lionsgate,City on a Hill Productions,Kingdom Story Company",26.514814,112,71.0,75.0,53.0, Drama
American Underdog,2021,"$26,514,814",25.0,5.9444,"Lionsgate,City on a Hill Productions,Kingdom Story Company",26.514814,112,71.0,75.0,53.0, Romance
Poolman,2023,"$131,000",10.0,4.1458,"AGC Studios,Barry Linen Motion Pictures,Brickell & Broadbridge International,CatchLight Studios,Shiny Penny Productions,Wicious Pictures",0.158933,100,40.0,24.0,,Comedy
Poolman,2023,"$131,000",10.0,4.1458,"AGC Studios,Barry Linen Motion Pictures,Brickell & Broadbridge International,CatchLight Studios,Shiny Penny Productions,Wicious Pictures",0.158933,100,40.0,24.0,, Mystery
Empire of Light,2022,"$1,177,577",13.5,5.477,"Searchlight Pictures,Neal Street Productions,TSG Entertainment",11.395604,115,67.0,45.0,54.0,Drama
Empire of Light,2022,"$1,177,577",13.5,5.477,"Searchlight Pictures,Neal Street Productions,TSG Entertainment",11.395604,115,67.0,45.0,54.0, Romance
The Soul Eater,2024,,3.5,6.5788,"Phase 4 Productions,Place du Marché Productions,uMedia,Star Invest Films Production,Région Grand Est,Amazon Studios France,OCS,uFund,France Télévisions,Palatine Étoile 8,SG Image 2021,Conseil Département Du Loir-Et-Cher,CNC,WTFilms,Dark Sky Films",0.864825,111,60.0,80.0,,Crime
The Soul Eater,2024,,3.5,6.5788,"Phase 4 Productions,Place du Marché Productions,uMedia,Star Invest Films Production,Région Grand Est,Amazon Studios France,OCS,uFund,France Télévisions,Palatine Étoile 8,SG Image 2021,Conseil Département Du Loir-Et-Cher,CNC,WTFilms,Dark Sky Films",0.864825,111,60.0,80.0,, Horror
The Soul Eater,2024,,3.5,6.5788,"Phase 4 Productions,Place du Marché Productions,uMedia,Star Invest Films Production,Région Grand Est,Amazon Studios France,OCS,uFund,France Télévisions,Palatine Étoile 8,SG Image 2021,Conseil Département Du Loir-Et-Cher,CNC,WTFilms,Dark Sky Films",0.864825,111,60.0,80.0,, Mystery
Baby John,2024,,21.176,5.4391,"Cine1 Studios,A for Apple Studios,Jio Studios,Vipin Agnihotri Films",6.941,162,64.0,31.0,,Action
Baby John,2024,,21.176,5.4391,"Cine1 Studios,A for Apple Studios,Jio Studios,Vipin Agnihotri Films",6.941,162,64.0,31.0,, Drama
Baby John,2024,,21.176,5.4391,"Cine1 Studios,A for Apple Studios,Jio Studios,Vipin Agnihotri Films",6.941,162,64.0,31.0,, Thriller
Cosmic Sin,2021,,20.0,4.8173,"308 Enterprises,BondIt Media Capital,Buffalo 8,The Exchange",0.349757,88,25.0,6.0,9.0,Action
Cosmic Sin,2021,,20.0,4.8173,"308 Enterprises,BondIt Media Capital,Buffalo 8,The Exchange",0.349757,88,25.0,6.0,9.0, Sci-Fi
Alienoid,2022,"$168,309",24.5,13.4012,Caper Film,12.109608,142,63.0,86.0,54.0,Action
Alienoid,2022,"$168,309",24.5,13.4012,Caper Film,12.109608,142,63.0,86.0,54.0, Adventure
Alienoid,2022,"$168,309",24.5,13.4012,Caper Film,12.109608,142,63.0,86.0,54.0, Fantasy
Dunki,2023,"$7,460,159",239.0,3.0227,"Red Chillies Entertainment,Rajkumar Hirani Films,Jio Studios",501.0,159,65.0,46.0,,Action
Dunki,2023,"$7,460,159",239.0,3.0227,"Red Chillies Entertainment,Rajkumar Hirani Films,Jio Studios",501.0,159,65.0,46.0,, Adventure
Dunki,2023,"$7,460,159",239.0,3.0227,"Red Chillies Entertainment,Rajkumar Hirani Films,Jio Studios",501.0,159,65.0,46.0,, Comedy
Out of Darkness,2022,"$1,951,547",1.5,2.4939,"Creative Scotland,Animal Kingdom,Escape Plan,Selkie Productions,BFI",1.987281,87,55.0,85.0,,Horror
Out of Darkness,2022,"$1,951,547",1.5,2.4939,"Creative Scotland,Animal Kingdom,Escape Plan,Selkie Productions,BFI",1.987281,87,55.0,85.0,, Thriller
The King's Daughter,2022,"$1,758,963",40.5,2.2965,"Firstep,Brookwell-McNamara Entertainment,Kylin Pictures,Bliss Media,Lightstream Entertainment,Ingenious Media,Gravitas Ventures,Fame Universal Entertainment,Interface Productions,Lionsgate",2.2,94,52.0,20.0,31.0,Action
The King's Daughter,2022,"$1,758,963",40.5,2.2965,"Firstep,Brookwell-McNamara Entertainment,Kylin Pictures,Bliss Media,Lightstream Entertainment,Ingenious Media,Gravitas Ventures,Fame Universal Entertainment,Interface Productions,Lionsgate",2.2,94,52.0,20.0,31.0, Adventure
